rest_id,name,address,price,cuisine
132870,Tortas y hamburguesas el gordo,Ricardo B. Anaya,low,Burgers
135058,Restaurante Tiberius,Munoz Sn Centro,medium,Pizzeria
135053,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,high,Pizzeria
135072,Sushi Itto,Venustiano Carranza 1809 C Polanco,medium,Japanese
135018,El Oceano Dorado,Libramiento Burgos Colonia Las Animas,medium,Mexican
134999,Kiku Cuernavaca,Revolucion,medium,Japanese
135032,Cafeteria y Restaurant El Pacifico,Constitucion 200 Centro,medium,Contemporary
135028,La Virreina,Av. Carranza 830,medium,Mexican
132845,Cenaduria El Rincón de Tlaquepaque,av. seminario,medium,Mexican
132773,El cotorreo,Emiliano Zapata Col. Tres de Mayo,low,Mexican
132732,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,low,Mexican
132951,VIPS,NICOLAS ZAPATA 300,low,American
132885,Hamburguesas saul,Av. Saan Luis enttre moctezuma y salinas,low,Cafeteria
132856,Unicols Pizza,Plaza del Carmen,low,Italian
135074,Restaurante la Parroquia Potosina,Venustiano Carranza 303 Centro,high,Contemporary
132766,Mikasa,Himno nacional esq. Blvd. Juarez,medium,Japanese
135044,Restaurant Wu Zhuo Yi,Himno Nacional 100 Avenida,medium,Chinese
135060,Restaurante Marisco Sam,Ignacio Allende 785 Centro,medium,Seafood
132955,emilianos,venustiano carranza,low,Bar_Pub_Brewery
135085,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,medium,Fast_Food
132667,little pizza Emilio Portes Gil,calle emilio portes gil,low,Armenian
132630,palomo tec,blvrd emilio portes gil,low,Mexican
132767,Restaurant Familiar El Chino,Paseo de las Fuentes,medium,Vietnamese
132583,McDonalds Centro,Rayon sn col. Centro,low,American
135035,El Mundo de la Pasta,Rio Papaloapan 265 Lomas de San Luis (3),high,Italian
134983,Restaurant and Bar and Clothesline Carlos N Charlies,Domingo 10 711 El Empleado,high,Bar_Pub_Brewery
135086,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,medium,Fast_Food
132954,la parroquia,venustiano carranza,medium,Breakfast-Brunch
