rest_id,name,address,price,cuisine
132755,La Estrella de Dimas,Av. de los Pintores,medium,Mexican
135071,Restaurante la Cantina,De La Estrella 2005 Estrella de Oriente,medium,Bar_Pub_Brewery
135039,Restaurant de Mariscos de Picon,Miguel Barragan 46 Centro,low,Seafood
135049,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,medium,Seafood
132870,Tortas y hamburguesas el gordo,Ricardo B. Anaya,low,Burgers
132954,la parroquia,venustiano carranza,medium,Breakfast-Brunch
132937,rockabilly ,agustin de iturbide,low,Bar
135043,pizza clasica,524 Soledad de Graciano Sanchez,medium,Pizzeria
132885,Hamburguesas saul,Av. Saan Luis enttre moctezuma y salinas,low,Cafeteria
135073,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,high,Bar_Pub_Brewery
135060,Restaurante Marisco Sam,Ignacio Allende 785 Centro,medium,Seafood
135018,El Oceano Dorado,Libramiento Burgos Colonia Las Animas,medium,Mexican
132958,tacos los volcanes,avenida hivno nacional,low,American
132856,Unicols Pizza,Plaza del Carmen,low,Italian
135042,Restaurant Oriental Express,Tangamanga 7 Tangamanga,medium,Chinese
132583,McDonalds Centro,Rayon sn col. Centro,low,American
135027,Restaurant Orizatlan,Pascual M. Hernandez 240,medium,Mexican
135019,Restaurant Bar Coty y Pablo,Paseo de Las Fuentes 24 Pedregal de Las Fuentes,low,Bar
132667,little pizza Emilio Portes Gil,calle emilio portes gil,low,Armenian
135055,la Cochinita Pibil Restaurante Yucateco,Venustiano Carranza 2175 Jardin,high,Mexican
135048,Restaurante Bar Fu-hao,Jesus Goytortua 390 Tangamanga,high,Bar
135069,Abondance Restaurante Bar,Industrias 908 Valle Dorado,low,Bar
132630,palomo tec,blvrd emilio portes gil,low,Mexican
135025,El Rincon de San Francisco,1a. de Lozada 1,medium,Mexican
135030,Preambulo Wifi Zone Cafe,Anahuac 805,medium,Cafeteria
