rest_id,name,address,price,cuisine
135071,Turnip the Beat,Port Angeles,low,Bar
135030,The Big Legrowlksi,Portland,high,Pizzeria
132667,Burgatory,Pittsburgh,medium,Fast_Food
132862,Catcher in the Rye,Los Angeles,high,International
135046,Cheesy Does It,Saratoga,medium,Fast_Food
135059,Dairy Godmother,Alexandria,medium,Bar
135021,dis is da way,african knuckles,low,Fast_Food
132613,Egglectic Cafe,Wheaton,medium,Breakfast
135069,The Garden of Eat'n,Grand Junction,low,Healthy
132869,Boneless Bizza,Spooky Toot Toot Ave,medium,Pizzeria
