rest_id,name,address,price,cuisine
132937,rockabilly ,agustin de iturbide,low,Bar
135026,la Cantina,Capitan Caldera No. 420 Tequisqueapan,high,Bar_Pub_Brewery
132870,Tortas y hamburguesas el gordo,Ricardo B. Anaya,low,Burgers
135041,Luna Cafe,Francisco I. Madero 215,medium,Cafeteria
132767,Restaurant Familiar El Chino,Paseo de las Fuentes,medium,Vietnamese
132609,Pollo_Frito_Buenos_Aires,tampico,low,Fast_Food
132825,puesto de tacos,esquina santos degollado y leon guzman,low,Mexican
132560,puesto de gorditas,frente al tecnologico,low,Regional
132768,Mariscos Tia Licha,avenida salvador montiel ,medium,Family
135030,Preambulo Wifi Zone Cafe,Anahuac 805,medium,Cafeteria
132773,El cotorreo,Emiliano Zapata Col. Tres de Mayo,low,Mexican
135069,Abondance Restaurante Bar,Industrias 908 Valle Dorado,low,Bar
132608,Hamburguesas La perica,cd. mier,low,Mexican
135053,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,high,Pizzeria
132834,Gorditas Doa Gloria,sevilla y olmedo 715 a,low,Mexican
132858,Hamburguesas Valle Dorado,Av. Coral,low,Burgers
134983,Restaurant and Bar and Clothesline Carlos N Charlies,Domingo 10 711 El Empleado,high,Bar_Pub_Brewery
135073,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,high,Bar_Pub_Brewery
135079,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,high,Chinese
132861,Carls Jr,Av. V. Carranza,medium,Burgers
132846,el lechon potosino ,circuito oriente esq. carretera 57,low,International
132706,Gorditas Dona Tota,Zaragoza entre Francisco Zarco y Lopez Velarde,medium,Mexican
135086,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,medium,Fast_Food
135034,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,medium,Japanese
132754,Cabana Huasteca,Cuauhtemoc 455,medium,Mexican
