rest_id,name,address,price,cuisine
139071,Kale Me Crazy,Atlanta,high,Healthy
139030,Lettuce B. Frank,Rochester,medium,Pizzeria
139667,Nacho Daddy,Las Vegas,medium,Mexican
139862,Sconehenge Bakery,Berkeley,high,International
139046,Tempt Asian,American Fork,medium,International
139059,New phone who dis,Question mark ping,high,Mystery
139021,The Codfather,Reno,low,Fast_Food
139613,The Great Impasta,Brunswick,high,Bar
139069,Vincent Van Doughnut,Grand St Louis,low,Breakfast
139869,Wish You Were Beer,Madison,medium,Bar
