user_id,rest_id,name,address,price,cuisine,rate
U1106,135041,Luna Cafe,Francisco I. Madero 215,medium,Cafeteria,3
U1106,135028,La Virreina,Av. Carranza 830,medium,Mexican,3
U1106,132754,Cabana Huasteca,Cuauhtemoc 455,medium,Mexican,5
U1106,132856,Unicols Pizza,Plaza del Carmen,low,Italian,1
U1106,132834,Gorditas Doa Gloria,sevilla y olmedo 715 a,low,Mexican,4
U1106,135042,Restaurant Oriental Express,Tangamanga 7 Tangamanga,medium,Chinese,2
U1106,135039,Restaurant de Mariscos de Picon,Miguel Barragan 46 Centro,low,Seafood,4
U1106,135085,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,medium,Fast_Food,6
U1106,132862,La Posada del Virrey,Av. V. Carranza,high,International,6
U1106,135030,Preambulo Wifi Zone Cafe,Anahuac 805,medium,Cafeteria,5
U1106,135079,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,high,Chinese,6
