user_id,rest_id,name,address,price,cuisine,rate
U1098,132885,Hamburguesas saul,Av. Saan Luis enttre moctezuma y salinas,low,Cafeteria,2
U1098,135060,Restaurante Marisco Sam,Ignacio Allende 785 Centro,medium,Seafood,5
U1098,132856,Unicols Pizza,Plaza del Carmen,low,Italian,4
U1098,135085,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,medium,Fast_Food,4
U1098,132825,puesto de tacos,esquina santos degollado y leon guzman,low,Mexican,3
U1098,135079,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,high,Chinese,4
U1098,135032,Cafeteria y Restaurant El Pacifico,Constitucion 200 Centro,medium,Contemporary,4
U1098,132861,Carls Jr,Av. V. Carranza,medium,Burgers,5
U1098,135046,Restaurante El Reyecito,Agricultura 595 del Valle,medium,Fast_Food,4
U1098,132862,La Posada del Virrey,Av. V. Carranza,high,International,5
