user_id,rest_id,name,address,price,cuisine,rate
U1024,132834,Gorditas Doa Gloria,sevilla y olmedo 715 a,low,Mexican,3
U1024,135106,El Rinc�n de San Francisco,Universidad 169,medium,Mexican,3
U1024,135042,Restaurant Oriental Express,Tangamanga 7 Tangamanga,medium,Chinese,4
U1024,132825,puesto de tacos,esquina santos degollado y leon guzman,low,Mexican,2
U1024,135060,Restaurante Marisco Sam,Ignacio Allende 785 Centro,medium,Seafood,3
U1024,135032,Cafeteria y Restaurant El Pacifico,Constitucion 200 Centro,medium,Contemporary,6
U1024,135039,Restaurant de Mariscos de Picon,Miguel Barragan 46 Centro,low,Seafood,6
U1024,135027,Restaurant Orizatlan,Pascual M. Hernandez 240,medium,Mexican,3
U1024,135073,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,high,Bar_Pub_Brewery,3
U1024,135041,Luna Cafe,Francisco I. Madero 215,medium,Cafeteria,3
U1024,135028,La Virreina,Av. Carranza 830,medium,Mexican,3
U1024,135030,Preambulo Wifi Zone Cafe,Anahuac 805,medium,Cafeteria,3
