user_id,rest_id,name,address,price,cuisine,rate
U1097,135079,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,high,Chinese,3
U1097,135058,Restaurante Tiberius,Munoz Sn Centro,medium,Pizzeria,4
U1097,132954,la parroquia,venustiano carranza,medium,Breakfast-Brunch,2
U1097,132958,tacos los volcanes,avenida hivno nacional,low,American,4
U1097,135026,la Cantina,Capitan Caldera No. 420 Tequisqueapan,high,Bar_Pub_Brewery,2
U1097,132955,emilianos,venustiano carranza,low,Bar_Pub_Brewery,5
U1097,135049,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,medium,Seafood,4
U1097,135034,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,medium,Japanese,5
U1097,135086,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,medium,Fast_Food,3
U1097,135053,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,high,Pizzeria,6
U1097,132861,Carls Jr,Av. V. Carranza,medium,Burgers,5
