user_id,rest_id,name,address,price,cuisine,rate
U1071,132862,La Posada del Virrey,Av. V. Carranza,high,International,6
U1071,135052,La Cantina Restaurante,Ignacio Aldama 300 Centro,high,Bar_Pub_Brewery,6
U1071,135060,Restaurante Marisco Sam,Ignacio Allende 785 Centro,medium,Seafood,5
U1071,135042,Restaurant Oriental Express,Tangamanga 7 Tangamanga,medium,Chinese,6
U1071,132825,puesto de tacos,esquina santos degollado y leon guzman,low,Mexican,6
U1071,132856,Unicols Pizza,Plaza del Carmen,low,Italian,6
U1071,135032,Cafeteria y Restaurant El Pacifico,Constitucion 200 Centro,medium,Contemporary,6
U1071,132834,Gorditas Doa Gloria,sevilla y olmedo 715 a,low,Mexican,3
U1071,135039,Restaurant de Mariscos de Picon,Miguel Barragan 46 Centro,low,Seafood,6
U1071,135028,La Virreina,Av. Carranza 830,medium,Mexican,6
U1071,135025,El Rincon de San Francisco,1a. de Lozada 1,medium,Mexican,6
U1071,135030,Preambulo Wifi Zone Cafe,Anahuac 805,medium,Cafeteria,6
