user_id,rest_id,name,address,price,cuisine,rate
U1137,132951,VIPS,NICOLAS ZAPATA 300,low,American,6
U1137,135085,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,medium,Fast_Food,5
U1137,132834,Gorditas Doa Gloria,sevilla y olmedo 715 a,low,Mexican,6
U1137,132862,La Posada del Virrey,Av. V. Carranza,high,International,6
U1137,135058,Restaurante Tiberius,Munoz Sn Centro,medium,Pizzeria,4
U1137,135059,Restaurant Bar Hacienda los Martinez,Santos Degollado 745 los Alamitos,medium,Bar,4
U1137,132825,puesto de tacos,esquina santos degollado y leon guzman,low,Mexican,5
U1137,132755,La Estrella de Dimas,Av. de los Pintores,medium,Mexican,6
U1137,135042,Restaurant Oriental Express,Tangamanga 7 Tangamanga,medium,Chinese,6
U1137,135049,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,medium,Seafood,6
U1137,135075,Mariscos El Pescador,Himno Nacional 2104 Tangamanga,medium,Seafood,6
