user_id,rest_id,name,address,price,cuisine,rate
U1105,139667,Nacho Daddy,Las Vegas,medium,Mexican,4
U1105,132862,Catcher in the Rye,Los Angeles,high,International,2
U1105,139862,Sconehenge Bakery,Berkeley,high,International,2
U1105,135046,Cheesy Does It,Saratoga,medium,Fast_Food,5
U1105,139046,Tempt Asian,American Fork,medium,International,5
U1105,135059,Dairy Godmother,Alexandria,medium,Bar,3
U1105,139059,New phone who dis,Question mark ping,high,Mystery,6
U1105,135021,dis is da way,african knuckles,low,Fast_Food,4
U1105,139021,The Codfather,Reno,low,Fast_Food,6
U1105,132613,Egglectic Cafe,Wheaton,medium,Breakfast,4
U1105,139613,The Great Impasta,Brunswick,high,Bar,5
U1105,135069,The Garden of Eat'n,Grand Junction,low,Healthy,1
U1105,139069,Vincent Van Doughnut,Grand St Louis,low,Breakfast,3
U1105,132869,Boneless Bizza,Spooky Toot Toot Ave,medium,Pizzeria,1
U1105,139869,Wish You Were Beer,Madison,medium,Bar,6
